--- When using SR data, please cite us and provide a link and/or a mention.

 
,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
Ederson,br BRA,GK,29-011,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,3bb7b8b4
Rodri,es ESP,MF,26-067,4,4,358,4.0,0,2,0,0,0,0,0,0.00,0.50,0.50,0.00,0.50,0.3,0.3,0.3,0.6,0.07,0.07,0.14,0.07,0.14,Matches,6434f10d
Kevin De Bruyne,be BEL,MF,31-061,4,4,355,3.9,1,3,1,0,0,0,0,0.25,0.76,1.01,0.25,1.01,0.6,0.6,1.7,2.3,0.15,0.43,0.58,0.15,0.58,Matches,e46012d4
Kyle Walker,eng ENG,DF,32-092,4,4,351,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,86dd77d1
João Cancelo,pt POR,DF,28-093,4,4,330,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.06,0.08,0.02,0.08,Matches,bd6351cd
Erling Haaland,no NOR,FW,22-038,4,4,323,3.6,6,1,5,1,1,0,0,1.67,0.28,1.95,1.39,1.67,4.5,3.7,0.4,4.1,1.26,0.10,1.36,1.04,1.14,Matches,1f44ac21
Phil Foden,eng ENG,FW,22-092,4,4,312,3.5,1,2,1,0,0,1,0,0.29,0.58,0.87,0.29,0.87,0.9,0.9,1.0,1.9,0.26,0.29,0.55,0.26,0.55,Matches,ed1e53f3
Rúben Dias,pt POR,DF,25-106,4,3,313,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.09,0.03,0.12,0.09,0.12,Matches,31c69ef1
İlkay Gündoğan,de GER,MF,31-308,4,3,261,2.9,2,1,2,0,0,0,0,0.69,0.34,1.03,0.69,1.03,1.2,1.2,0.9,2.1,0.40,0.31,0.71,0.40,0.71,Matches,819b3158
